,Street,City,State/province/area,Zip code,Address,Latitude,Longitude,Geocodes
0,"V-33, Patel Nagar (w)",Delhi,Delhi,110008,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,"(28.6472587, 77.1653712)"
1,"Cccl Building, Jai Singh Road, Connaught Place",Delhi,Delhi,110001,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,"(28.6270183, 77.2153664)"
2,"3515, Chutani Manzil, Nicholson Road, Mori Gate",Delhi,Delhi,110006,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,"(28.664203, 77.2237393)"
3,"20b, Dsidc Shed, Tilak Nagar",Delhi,Delhi,110018,"20b, Dsidc Shed, Tilak Nagar, Delhi 110018",28.6365482,77.0964961,"(28.6365482, 77.0964961)"
4,"32, Main, Lodhi Colony",Delhi,Delhi,110003,"32, Main, Lodhi Colony, Delhi 110003",28.586203,77.2268576,"(28.586203, 77.2268576)"
5,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar",Delhi,Delhi,110006,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,"(28.658087, 77.2170087)"
6,"Unit 1 B-257, Naraina Indl Area",Delhi,Delhi,110028,"Unit 1 B-257, Naraina Indl Area, Delhi 110028",28.6321053,77.1370662,"(28.6321053, 77.1370662)"
7,"641/42, Shradhanand Marg, Behind 77, G B Road",Delhi,Delhi,110006,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,"(28.6517178, 77.2219388)"
8,"63-64, Main Market, Subzi Mandi",Delhi,Delhi,110007,"63-64, Main Market, Subzi Mandi, Delhi 110007",28.63551235,77.32148223170245,"(28.63551235, 77.32148223170245)"
9,"Plot No 3, Dabua Extn, Nit, Indl Area, Pali Road, Faridabad, Faridabad",Delhi,Delhi,121001,"Plot No 3, Dabua Extn, Nit, Indl Area, Pali Road, Faridabad, Faridabad, Delhi 121001",28.5769233,77.2660263,"(28.5769233, 77.2660263)"
10,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs",Delhi,Delhi,110015,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,"(28.6273928, 77.1716954)"
11,"Vasant Plaza, Near Subway, Munirka",Delhi,Delhi,110067,"Vasant Plaza, Near Subway, Munirka, Delhi 110067",28.554886,77.1710841,"(28.554886, 77.1710841)"
12,C 16,Delhi,Delhi,110001,"C 16, Delhi 110001",28.54849475,77.23750210823171,"(28.54849475, 77.23750210823171)"
13,"F 20, United India Life Bldg, Connaught Place",Delhi,Delhi,110001,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,"(28.6314022, 77.2193791)"
14,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh",Delhi,Delhi,110005,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,"(28.6529982, 77.1890227)"
15,"47-50, Dsidc Complex, Bahadur Shah Zafar M",Delhi,Delhi,110002,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,"(28.6389559, 77.2410843)"
16,"4226/1 Bhargava Lane, Ansari Road",Delhi,Delhi,110002,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,"(28.6442872, 77.2441881)"
17,J-12 Phase 2,Delhi,Delhi,110024,"J-12 Phase 2, Delhi 110024",28.5368963,77.2674135,"(28.5368963, 77.2674135)"
18,"86, Janpath",Delhi,Delhi,110001,"86, Janpath, Delhi 110001",28.6282883,77.2193779,"(28.6282883, 77.2193779)"
19,"F 301/2, Friend Tower, Paschim Vihar",Delhi,Delhi,110087,"F 301/2, Friend Tower, Paschim Vihar, Delhi 110087",28.6695782,77.095956,"(28.6695782, 77.095956)"
20,"Plot 41, Gurgaon, Gurgaon",Delhi,Delhi,122001,"Plot 41, Gurgaon, Gurgaon, Delhi 122001",28.4692855,77.034447,"(28.4692855, 77.034447)"
21,"B-8, 18, Rattan Jyoti, Rajendra Place",Delhi,Delhi,110008,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,"(28.64459015, 77.17775672442914)"
22,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market",Delhi,Delhi,110002,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,"(28.6786683, 77.2072566)"
23,"F 12a, Sudarshan Park, Moti Nagar",Delhi,Delhi,110015,"F 12a, Sudarshan Park, Moti Nagar, Delhi 110015",28.6588044,77.1446329,"(28.6588044, 77.1446329)"
24,"3e/1, Link Road",Delhi,Delhi,110055,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,"(28.6455279, 77.1977334)"
25,"B1/154, Vishnu Garden",Delhi,Delhi,110018,"B1/154, Vishnu Garden, Delhi 110018",28.6524333,77.1000592,"(28.6524333, 77.1000592)"
26,"Cb-109, Ring Road, Naraina",Delhi,Delhi,110028,"Cb-109, Ring Road, Naraina, Delhi 110028",28.6220547,77.1386441,"(28.6220547, 77.1386441)"
27,"787, Noida, Noida",Delhi,Delhi,201301,"787, Noida, Noida, Delhi 201301",28.629230200000002,77.38416795,"(28.629230200000002, 77.38416795)"
28,"778 A, Nai Sarak, Chandni Chowk",Delhi,Delhi,110006,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,"(28.6533313, 77.2285546)"
29,"676, Katra Neel, Chandni Chowk",Delhi,Delhi,110006,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,"(28.6576181, 77.2257763)"
30,"26, Part 1, Community Centre 3rdth Floor, East Of Kailash",Delhi,Delhi,110065,"26, Part 1, Community Centre 3rdth Floor, East Of Kailash, Delhi 110065",28.5621143,77.2555218,"(28.5621143, 77.2555218)"
31,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden",Delhi,Delhi,110027,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden, Delhi 110027",28.6421518,77.11606037769263,"(28.6421518, 77.11606037769263)"
32,"8, Community Centre 2, Bansal Tower, Ashok Vihar",Delhi,Delhi,110052,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,"(28.6909399, 77.17761970395301)"
33,"1164, Kucha Mahajan, Chandni Chowk",Delhi,Delhi,110006,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,"(28.6563007, 77.2299093)"
34,"2318, Lodhi Road Complex, Lodhi Road",Delhi,Delhi,110003,"2318, Lodhi Road Complex, Lodhi Road, Delhi 110003",28.5905859,77.2245784,"(28.5905859, 77.2245784)"
35,"82 A, C Extension",Delhi,Delhi,110096,"82 A, C Extension, Delhi 110096",28.58066145,77.25741170875536,"(28.58066145, 77.25741170875536)"
36,C 49 Phase 2,Delhi,Uttar Pradesh,201301,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,"(28.6271527, 77.2166666)"
37,"221, Teliwara, Sadar Bazar",Delhi,Delhi,110006,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,"(28.661528, 77.2148162)"
